,Name,Ra,Dec,TS,ns,gamma,-Log(p-value)
0,Mkn_421,166.12,38.21,0.18,2.1,1.92,0.38
1,PG_1553+113,238.93,11.19,0.0,0.0,2.82,0.32
2,BL_Lac,330.69,42.28,0.0,0.0,2.7,0.31
3,PKS_0235+164,39.67,16.62,0.0,0.0,3.03,0.28
4,TXS_0518+211,80.44,21.21,1.53,15.75,3.85,0.92
5,PKS_1424+240,216.76,23.8,9.88,41.47,3.94,2.8
6,S5_0716+71,110.49,71.34,0.0,0.0,2.51,0.38
7,3C_66A,35.67,43.04,0.0,0.0,2.8,0.3
8,4C_+01.28,164.61,1.56,0.0,0.0,2.91,0.26
9,TXS_0506+056,77.35,5.7,13.05,12.32,2.08,3.72
10,Mkn_501,253.47,39.76,0.8,10.27,4.0,0.61
11,S2_0109+22,18.03,22.75,0.03,2.02,3.13,0.3
12,B2_1215+30,184.48,30.12,2.68,18.6,3.39,1.09
13,PKS_0735+17,114.54,17.71,0.0,0.0,2.84,0.3
14,MG1_J021114+1051,32.81,10.86,0.14,1.55,1.75,0.43
15,OT_081,267.87,9.65,1.02,12.21,3.22,0.73
16,OJ_287,133.71,20.12,0.0,0.0,2.63,0.32
17,1H_1013+498,153.77,49.43,0.0,0.0,2.58,0.29
18,OJ_014,122.87,1.78,2.01,16.07,4.0,0.99
19,TXS_0141+268,26.15,27.09,0.0,0.0,2.53,0.31
20,NVSS_J141826-023,214.61,-2.56,0.0,0.0,2.96,0.25
21,PKS_0829+046,127.97,4.49,0.0,0.0,2.93,0.28
22,1ES_1959+650,300.01,65.15,1.66,12.6,3.27,0.77
23,1H_1720+117,261.27,11.88,0.0,0.0,2.66,0.3
24,RGB_J2243+203,340.99,20.36,0.0,0.0,3.01,0.33
25,S4_0814+42,124.56,42.38,0.0,0.0,2.3,0.3
26,RX_J1931.1+0937,292.78,9.63,0.0,0.0,2.88,0.29
27,PKS_B1130+008,173.2,0.58,2.05,15.79,4.0,0.96
28,MG4_J200112+4352,300.3,43.89,0.72,6.15,2.26,0.67
29,ON_246,187.56,25.3,0.13,0.94,1.71,0.37
30,B3_0609+413,93.22,41.37,0.11,1.81,1.68,0.42
31,1RXS_J194246.3+1,295.7,10.56,0.0,0.0,2.68,0.33
32,B3_0133+388,24.14,39.1,0.0,0.0,2.61,0.28
33,GB6_J1542+6129,235.75,61.5,9.29,29.72,3.02,2.74
34,W_Comae,185.38,28.24,0.0,0.0,2.98,0.32
35,PG_1246+586,192.08,58.34,0.0,0.0,2.83,0.35
36,PKS_0422+00,66.19,0.6,0.0,0.0,2.92,0.27
37,1ES_0647+250,102.7,25.06,0.0,0.0,2.9,0.27
38,PKS_0048-09,12.68,-9.49,0.74,3.92,3.27,0.87
39,PKS_1717+177,259.81,17.75,2.96,19.82,3.65,1.32
40,1ES_0806+524,122.46,52.31,0.0,0.0,2.75,0.31
41,TXS_1902+556,285.8,55.68,1.18,11.7,4.0,0.85
42,PKS_0019+058,5.64,6.14,0.0,0.0,2.87,0.29
43,PKS_2233-148,339.14,-14.56,2.85,5.32,2.8,1.26
44,PG_1218+304,185.34,30.17,1.09,11.13,3.94,0.7
45,MG2_J043337+2905,68.41,29.1,0.0,0.0,2.66,0.28
46,B2_2114+33,319.06,33.66,0.0,0.0,3.0,0.3
47,S4_1250+53,193.31,53.02,0.11,2.22,2.49,0.39
48,S4_1749+70,267.15,70.1,0.0,0.0,2.48,0.37
49,PKS_1216-010,184.64,-1.33,0.54,6.88,4.0,0.45
50,3C_454.3,343.5,16.15,0.76,5.41,2.24,0.62
51,PKS_1510-089,228.21,-9.1,0.0,0.09,1.7,0.41
52,3C_279,194.04,-5.79,0.0,0.26,2.38,0.2
53,PKS_1502+106,226.1,10.5,0.0,0.0,2.99,0.33
54,CTA_102,338.15,11.73,0.0,0.0,2.7,0.3
55,4C_+21.35,186.23,21.38,0.0,0.0,2.59,0.32
56,4C_+01.02,17.16,1.59,0.0,0.0,3.0,0.26
57,B2_1520+31,230.55,31.74,1.3,7.09,2.4,0.83
58,4C_+38.41,248.82,38.14,0.84,4.21,2.28,0.66
59,3C_273,187.27,2.04,0.0,0.0,2.99,0.28
60,PKS_0502+049,76.34,5.0,0.85,11.19,3.02,0.66
61,MG1_J123931+0443,189.89,4.73,0.0,0.0,2.61,0.28
62,PKS_0336-01,54.88,-1.77,2.71,15.5,4.0,0.99
63,PKS_0736+01,114.82,1.62,0.0,0.0,2.79,0.26
64,OG_+050,83.18,7.55,0.0,0.0,3.24,0.28
65,MG2_J201534+3710,303.92,37.19,0.15,4.43,4.0,0.4
66,PKS_2320-035,350.88,-3.29,0.31,4.79,3.63,0.45
67,PKS_0727-11,112.58,-11.69,0.43,1.94,3.51,0.59
68,PKS_2032+107,308.85,10.94,0.0,0.0,2.45,0.33
69,PKS_0805-07,122.07,-7.86,0.0,0.0,2.73,0.31
70,4C_+28.07,39.48,28.8,0.0,0.0,2.79,0.3
71,PKS_0420-01,65.83,-1.33,0.81,9.31,4.0,0.52
72,Ton_599,179.88,29.24,0.0,0.0,2.21,0.29
73,PKS_0440-00,70.66,-0.29,0.41,7.59,3.94,0.46
74,S3_0458-02,75.3,-1.97,0.29,5.45,4.0,0.33
75,4C_+55.17,149.42,55.38,1.62,11.88,3.28,1.02
76,B3_1343+451,206.4,44.88,0.0,0.0,2.83,0.32
77,B2_0218+357,35.28,35.94,0.0,0.0,3.08,0.33
78,PKS_1441+25,220.99,25.03,1.99,7.49,2.38,0.94
79,4C_+14.23,111.33,14.42,0.64,8.54,2.89,0.6
80,OX_169,325.89,17.73,0.87,2.02,1.73,0.69
81,PKS_0215+015,34.46,1.74,0.0,0.0,3.16,0.27
82,TXS_2241+406,341.06,40.96,0.13,3.76,3.79,0.42
83,PKS_1329-049,203.02,-5.16,1.21,6.06,2.68,0.77
84,NVSS_J190836-012,287.2,-1.53,0.0,0.0,2.86,0.22
85,GRS_1285.0,283.15,0.69,0.01,1.67,3.82,0.27
86,NGC_1275,49.96,41.51,0.09,3.63,3.09,0.41
87,PMN_J0948+0022,147.24,0.37,1.23,9.32,4.0,0.76
88,M_87,187.71,12.39,0.0,0.0,2.76,0.29
89,PKS_1502+036,226.26,3.44,0.0,0.0,2.75,0.28
90,LMC,80.0,-68.75,0.0,0.0,3.1,0.36
91,NGC_1068,40.67,-0.01,17.04,50.39,3.16,4.74
92,M_82,148.95,69.67,0.0,0.0,2.61,0.36
93,SMC,14.5,-72.75,0.0,0.0,2.37,0.37
94,M_31,10.82,41.24,2.11,10.99,4.0,1.09
95,NGC_253,11.9,-25.29,1.27,3.01,4.0,0.75
96,NGC_598,23.52,30.62,0.85,11.4,4.0,0.63
97,NGC_4945,196.36,-49.47,0.0,0.31,2.65,0.31
98,Crab_nebula,83.63,22.01,0.04,1.08,2.23,0.31
99,HESS_J1841-055,280.23,-5.55,1.15,3.55,4.0,0.55
100,HESS_J1843-033,280.75,-3.3,0.0,0.0,2.78,0.31
101,MGRO_J1908+06,287.17,6.18,3.48,4.22,1.96,1.42
102,HESS_J1837-069,279.43,-6.93,0.0,0.0,2.84,0.3
103,HESS_J1857+026,284.3,2.67,0.4,7.44,3.12,0.53
104,PSRB0656+14,104.95,14.24,0.39,8.36,4.0,0.51
105,MGRO_J2019+37,304.85,36.8,0.0,0.0,3.08,0.33
106,HESS_J1849-000,282.26,-0.02,0.0,0.0,2.99,0.28
107,HESS_J1852-000,283.0,0.0,0.08,3.28,3.75,0.38
108,GammaCygni,305.56,40.26,0.58,7.43,3.75,0.59
109,2HWCJ2031+415,307.93,41.51,1.75,13.36,3.77,0.97
